Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;25;Real Madrid;;1. Champions Lg;14;13;1,127;12.5;7;1;8;7;0;1;0;0;9.2;8.4;1.0;9.4;53;35;117;0.56;0.08;0.64;0.56;0.64;0.75;0.08;0.83;0.69;0.77;Matches;43;6;12
2024-2025;25;Real Madrid;es ESP;Copa del Rey;4;1;236;2.6;2;0;2;2;0;0;0;0;;;;;;;;0.76;0.00;0.76;0.76;0.76;;;;;;Matches;;;
2024-2025;25;Real Madrid;es ESP;1. La Liga;34;34;2,907;32.3;31;3;34;24;7;9;3;1;25.9;18.6;7.7;26.3;150;140;386;0.96;0.09;1.05;0.74;0.84;0.80;0.24;1.04;0.58;0.81;Matches;133;15;52
2024-2025;25;Real Madrid;;Super Cup;1;1;82;0.9;1;0;1;1;0;0;0;0;;;;;;;;1.10;0.00;1.10;1.10;1.10;;;;;;Matches;;;
2024-2025;25;Real Madrid;es ESP;Supercopa de España;2;2;180;2.0;1;0;1;1;0;0;0;0;;;;;;;;0.50;0.00;0.50;0.50;0.50;;;;;;Matches;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
