Jogador;Minutes;PrgC;PrgP;G+A;Gls;xG;TklW;Int;SCA;Succ Take-Ons
Matheus Pereira;2011;58;130;12;5;3.2;26;10;149;26
Kaiki;2203;50;79;4;1;3.1;60;32;46;28
Wanderson;1693;48;35;2;0;2.2;7;6;63;33
Kaio Jorge;1963;43;29;21;15;12.4;6;5;55;22
Lucas Silva;2008;29;129;4;2;0.7;26;10;49;17
Fabrício Bruno;2250;6;81;2;2;1.1;30;16;24;2
Lucas Romero;2028;20;107;3;1;0.4;24;27;48;13
Christian;1616;26;39;5;3;4.3;14;13;33;7
William;1468;28;61;4;0;0.6;32;27;60;22
Keny Arroyo;154;9;8;0;0;0.4;1;1;9;2
Lucas Villalba;2054;35;84;1;1;1.6;16;31;18;9
