Jogador;Minutos;TklW;Int;Blocks;PassBlocks;Cmp;Cmp%;PrgC;PrgP;PPA;Crosses;SCA;CrsPA;GCA;PPG
Alex Sandro;959;5;14;11;7;688;88.7;24;89;9;17;24;3;2;2.24
Ayrton Lucas;527;14;3;3;3;387;91.7;16;44;4;8;15;3;1;2.24
Piquerez;1691;21;16;22;16;868;79.4;24;109;21;93;59;14;5;2.19
Kaiki Bruno;1776;48;28;23;19;534;74.0;39;57;13;53;33;8;4;2.00
Reinaldo;1721;19;11;15;14;724;70.4;31;87;13;98;57;8;8;1.81
L Juba;1704;20;25;9;8;942;83.7;37;92;22;78;60;8;9;1.80
A Telles;1157;9;13;6;3;570;83.0;23;60;15;77;37;9;2;1.75
E Diaz;1285;40;17;19;13;629;78.3;38;79;12;73;39;7;4;1.45
J Capixaba;1080;24;16;22;15;581;78.5;20;78;10;27;36;3;2;1.36
L Piton;1704;16;22;7;7;1075;81.7;35;84;24;104;56;16;8;1.05
Bernabei;1368;26;24;22;17;762;76.4;38;75;25;71;56;15;6;1.23
M Bidu;1010;16;11;16;15;593;80.8;24;46;8;40;31;6;4;1.26
G Arana;775;9;8;10;6;482;86.5;29;56;13;40;26;7;0;1.20
G Escobar;1452;45;31;22;16;676;81.3;22;63;15;40;32;10;0;1.05
