Jogador;Minutes;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Aerial Won;Aerial Lost;Aerial Won%;
Leo Ortiz;1728;24;15;11;12;1;7;9;77.8;2;14;12;2;12;36;79;4;42;19;68.9;
Lyanco;1078;24;14;16;4;4;10;16;62.5;6;16;10;6;27;51;62;3;26;18;59.1;
F Bruno;1890;33;27;20;11;2;18;26;69.2;8;30;19;11;11;44;158;1;50;28;64.1;
Leo Pereira;1752;16;11;12;3;1;10;22;45.5;12;19;9;10;16;32;77;1;36;26;58.1;
Murilo;580;7;4;1;5;1;2;6;33.3;4;10;5;5;5;12;31;1;10;2;83.3;
G Gomez;1429;34;18;22;10;2;17;25;68.0;8;18;13;5;21;55;88;1;40;28;58.8;
A Barboza;1067;28;23;21;6;1;19;28;67.9;9;13;6;7;11;39;75;1;33;16;67.3;
Villalba;1694;20;13;8;11;1;9;14;64.3;5;25;17;8;28;48;114;1;40;37;51.9;
Alan Franco;1383;15;11;11;4;0;9;15;60.0;6;24;13;11;14;29;80;2;28;16;63.6;
Ferraresi;1403;60;42;28;26;6;34;54;63.0;20;13;5;8;18;78;75;0;25;15;62.5;
Jemmes;1800;32;25;21;9;2;19;31;61.3;12;17;14;3;23;55;133;1;34;37;47.9;
