Season;Age;Squad;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;01/mar;CPA;Mis;Dis;Rec;PrgR
2016;16;Once Caldas;2;0;28;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017;17;Once Caldas;22;10;1,041;11.6;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0.09;0.00;0.09;0.09;0.09;0;0;0;0;0;19;8;42.1;1.64;0.69;0.05;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;18;Once Caldas;17;14;1,236;13.7;4;4;8;4;0;0;6;0;0;0;0;0;0;0;0;0.29;0.29;0.58;0.29;0.58;0;0;0;0;0;35;18;51.4;2.55;1.31;0.11;0.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-2019;19;Feyenoord;5;0;54;0.6;0;0;0;0;0;0;0;0;1.7;1.7;0.0;1.7;5;4;12;0.00;0.00;0.00;0.00;0.00;2.75;0.00;2.75;2.75;2.75;6;1;16.7;10.00;1.67;0.00;0.00;11.0;0;0;0;1.7;1.7;0.28;-1.7;-1.7;41;0;4;12;26;11;41;5;5;100.0;0;0.0;33;263;149;5;5;4;0;4;35;12
2019-2020;20;Feyenoord;21;21;1,616;18.0;5;4;9;5;0;0;2;0;5.9;5.9;4.4;10.4;56;52;188;0.28;0.22;0.50;0.28;0.50;0.33;0.25;0.58;0.33;0.58;36;15;41.7;2.00;0.84;0.14;0.33;14.4;0;0;0;5.9;5.9;0.16;-0.9;-0.9;962;28;112;431;433;97;962;98;63;64.3;35;35.7;604;3932;1708;56;25;36;50;43;713;188
2020-2021;21;Feyenoord;20;13;1,207;13.4;3;5;8;3;0;0;3;0;4.0;4.0;2.6;6.6;41;43;127;0.22;0.37;0.60;0.22;0.60;0.30;0.19;0.49;0.30;0.49;26;8;30.8;1.94;0.60;0.12;0.38;13.4;0;0;0;4.0;4.0;0.15;-1.0;-1.0;684;19;67;318;305;76;684;57;36;63.2;21;36.8;480;2945;1225;41;27;22;44;28;550;127
2021-2022;22;Feyenoord;30;29;2,405;26.7;12;7;19;12;0;0;1;0;9.6;9.6;6.7;16.3;129;112;313;0.45;0.26;0.71;0.45;0.71;0.36;0.25;0.61;0.36;0.61;79;35;44.3;2.96;1.31;0.15;0.34;15.1;0;0;0;9.6;9.6;0.12;+2.4;+2.4;1603;24;130;640;849;179;1603;152;107;70.4;45;29.6;1082;6998;3446;129;68;67;81;45;1259;313
2022-2023;23;Leeds United;19;13;867;9.6;5;0;5;5;0;0;3;1;3.7;3.7;0.4;4.2;30;39;84;0.52;0.00;0.52;0.52;0.52;0.39;0.04;0.43;0.39;0.43;28;11;39.3;2.91;1.14;0.18;0.45;16.2;0;0;0;3.7;3.7;0.13;+1.3;+1.3;469;7;50;212;215;32;469;42;19;45.2;17;40.5;281;1740;931;30;17;8;16;23;341;84
2023-2024;24;Leeds United;2;2;174;1.9;1;0;1;1;0;0;0;0;0.4;0.4;0.3;0.7;5;10;15;0.52;0.00;0.52;0.52;0.52;0.21;0.15;0.36;0.21;0.36;5;4;80.0;2.59;2.07;0.20;0.25;21.9;0;0;0;0.4;0.4;0.08;+0.6;+0.6;131;1;12;57;63;13;131;12;5;41.7;6;50.0;79;378;209;5;2;4;5;6;106;15
2023-2024;24;Bournemouth;20;7;699;7.8;2;2;4;2;0;0;0;0;2.5;2.5;2.4;5.0;51;38;85;0.26;0.26;0.52;0.26;0.52;0.33;0.31;0.64;0.33;0.64;27;8;29.6;3.48;1.03;0.07;0.25;13.9;0;0;0;2.5;2.5;0.09;-0.5;-0.5;430;11;63;134;242;83;430;49;29;59.2;18;36.7;267;2098;1195;51;20;35;24;10;309;85
2024-2025;25;Bournemouth;12;1;236;2.6;1;1;2;1;0;0;0;0;1.2;1.2;1.4;2.6;19;6;38;0.38;0.38;0.76;0.38;0.76;0.46;0.54;1.00;0.46;1.00;13;6;46.2;4.96;2.29;0.08;0.17;14.8;0;0;0;1.2;1.2;0.09;-0.2;-0.2;155;7;18;41;96;23;155;20;8;40.0;10;50.0;95;744;393;19;6;10;6;3;102;38
