Player;Team;G;G-PK;xG;npxG
Pedro;Flamengo;12;11;8.6;6.8
Arrascaeta;Flamengo;16;15;7.3;6.5
Vitor Roque;Palmeiras;13;12;11.2;10.4
Kaio Jorge;Cruzeiro;17;16;14.7;13.2
Reinaldo;Mirassol;11;6;7.3;2.5
Luciano Juba;Bahia;5;5;2.0;2.0
Ryan Francisco;São Paulo;2;2;0.5;0.5
Pablo Vegetti;Vasco;14;11;12.7;10.3
Rayan;Vasco;11;9;7.5;5.9
Nuno Moreira;Vasco;6;6;3.3;3.3
Carlos Vinícius;Grêmio;6;4;3.4;1.8
Jhon Jhon;Bragantino;7;5;4.5;3.0
Isidro Pitta;Bragantino;6;6;1.9;1.9
A Barreal;Santos;8;7;5.8;5.0
R Kayser;Vitória;8;7;6.8;6.0
E Batalla;Juventude;4;4;1.4;1.4
