Player;MP;90s;Gls;Ast;G+A;G-PK;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Sh;SoT;SoT%;Cmp%;KP;PPA;CrsPA;PrgP;SCA;GCA;Tkl;TklW;Blocks;Int;Tkl+Int;Clr;Touches;Live;Carries;TotDist;PrgDist;CPA;Rec;Won;Lost;Won%
Agustín Rossi;35;35.0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0;0;0;57.5;0;0;0;2;9;1;0;0;0;0;0;14;1076;1076;686;3254;2082;0;607;5;2;71.4
Léo Pereira;32;30.8;4;0;4;4;2.0;2.0;0.6;2.5;45;167;17;19;7;36.8;70.9;14;10;1;167;33;1;22;14;30;20;42;116;2745;2745;1805;10021;5697;1;2084;51;43;54.3
Giorgian De Arrascaeta;31;25.0;18;14;32;16;9.5;7.2;7.2;14.4;49;141;212;69;21;30.4;37.1;65;40;7;141;124;25;34;15;11;5;39;10;1500;1497;864;4305;1985;8;1127;15;15;50.0
Leo Ortiz;26;24.5;1;2;3;1;1.4;1.4;1.4;2.7;22;167;3;18;6;33.3;75.5;8;11;4;167;25;4;31;18;18;16;47;107;2060;2060;1265;6037;3584;0;1538;57;29;66.3
Bruno Henrique;30;18.7;7;0;7;6;6.7;5.9;1.2;7.2;44;36;129;50;20;40.0;60.0;19;15;4;36;48;3;20;13;13;4;24;8;626;625;407;2333;1135;14;470;31;40;43.7
Alex Sandro;19;16.2;0;0;0;0;0.2;0.2;1.2;1.4;33;110;42;8;2;25.0;58.6;11;14;7;110;33;2;14;7;17;17;31;52;1214;1214;715;3072;1664;2;844;17;14;54.8
Samuel Lino;19;14.1;3;5;8;3;3.2;3.2;2.6;5.8;82;50;161;41;9;22.0;65.8;24;19;6;50;73;10;26;17;20;3;29;13;798;798;518;3475;1964;37;624;6;8;42.9
Luiz Araújo;33;18.6;7;3;10;7;3.5;3.5;3.9;7.5;33;90;133;45;18;40.0;42.6;41;22;7;90;71;6;48;35;15;8;56;11;1043;1043;576;2749;1201;11;721;8;17;32.0
Gonzalo Plata;26;14.5;4;1;5;4;3.0;3.0;2.1;5.1;33;48;149;25;10;40.0;52.9;30;15;1;48;63;4;23;18;11;2;25;10;763;763;454;2506;924;11;589;15;23;39.5
Jorginho;16;13.7;3;1;4;0;2.8;0.4;0.6;1.0;18;136;13;8;1;12.5;68.8;15;28;3;136;40;3;18;11;8;21;39;3;1310;1307;826;3778;1854;0;1054;8;12;40.0
Guillermo Varela;19;13.7;0;4;4;0;0.3;0.3;0.7;0.9;23;54;106;4;2;50.0;51.1;6;9;5;54;18;4;23;15;7;6;29;42;947;947;484;2260;1013;3;639;15;17;46.9
Emerson;14;12.9;1;1;2;1;0.6;0.6;1.3;1.9;33;54;103;15;6;40.0;56.7;15;19;7;54;31;1;27;17;10;19;46;33;847;847;484;2085;1026;5;545;29;18;61.7
Erick Pulgar;15;11.8;1;0;1;1;0.3;0.3;0.5;0.8;10;45;8;7;4;57.1;72.7;12;6;0;45;22;3;15;11;6;21;36;18;862;862;541;2405;1017;0;654;14;7;66.7
Pedro;21;11.6;12;6;18;11;8.6;6.8;2.2;9.0;10;16;81;41;23;56.1;88.9;19;5;0;16;34;10;9;6;9;6;15;7;350;348;214;788;247;8;267;6;24;20.0
Danilo;18;13.7;1;0;1;1;1.0;1.0;0.5;1.5;21;119;5;5;3;60.0;75.3;5;9;1;119;17;5;9;7;9;13;22;57;1233;1233;832;4596;2839;1;972;18;19;48.6
Saúl Ñíguez;15;12.8;0;2;2;0;1.3;1.3;1.4;2.8;15;76;18;22;3;13.6;70.0;23;16;5;76;41;5;33;24;17;18;51;19;905;905;499;2297;987;0;652;14;14;50.0
Ayrton Lucas;17;12.7;2;0;2;2;1.2;1.2;0.6;1.9;24;82;60;15;6;40.0;69.4;9;13;9;82;30;1;30;25;12;8;38;29;1010;1010;604;2736;1568;4;708;21;14;60.0
Nicolás De La Cruz;18;11.2;0;0;0;0;0.7;0.7;1.1;1.8;7;92;21;16;4;25.0;61.9;17;17;2;92;37;4;21;14;6;7;28;8;974;974;615;2710;1089;0;743;8;4;66.7
Wesley;11;10.9;1;2;3;1;0.3;0.3;1.0;1.4;35;46;124;10;3;30.0;68.5;11;17;7;46;28;4;29;20;10;12;41;16;784;784;477;2388;1205;11;544;7;10;41.2
Everton Soares;21;9.1;1;3;4;1;1.9;1.9;0.9;2.9;42;33;102;28;6;21.4;52.2;9;12;1;33;30;8;11;8;4;4;15;3;470;470;311;2294;1262;13;343;9;13;40.9
Gerson;9;7.9;0;2;2;0;0.7;0.7;1.6;2.3;11;60;45;7;4;57.1;79.5;13;17;1;60;23;4;17;14;7;5;22;3;494;494;312;1507;751;5;393;3;1;75.0
Jorge Carrascal;14;7.7;2;4;6;2;2.1;2.1;1.1;3.2;20;30;60;17;3;17.6;53.5;15;12;4;30;36;6;22;10;7;4;26;5;443;443;275;1467;639;8;323;15;11;57.7
Allan;13;7.6;0;0;0;0;0.2;0.2;0.1;0.3;7;52;7;6;2;33.3;75.0;5;11;0;52;14;1;6;4;8;9;15;9;621;621;387;1825;852;0;490;3;5;37.5
Evertton;16;9.3;1;0;1;1;0.3;0.3;0.1;0.4;3;41;7;10;5;50.0;87.0;3;4;0;41;12;0;15;12;11;4;19;8;547;547;355;1341;507;0;404;7;12;36.8
Michael;14;5.9;1;3;4;1;1.4;1.4;2.1;3.4;21;25;87;11;4;36.4;50.0;14;16;6;25;32;5;7;2;9;2;9;3;283;283;200;1395;657;11;217;5;4;55.6
Juninho;15;4.2;1;0;1;1;2.5;2.5;0.2;2.7;0;4;25;18;5;27.8;0;3;1;0;4;10;1;7;6;3;1;8;5;106;106;51;278;64;0;66;10;9;52.6
Wallace;15;3.4;1;2;3;1;1.1;1.1;1.3;2.4;15;9;48;14;3;21.4;33.3;12;3;1;9;24;4;4;4;6;2;6;0;178;178;121;749;264;8;140;4;10;28.6
Matías Viña;8;3.1;0;0;0;0;0.0;0.0;0.2;0.3;9;13;17;1;0;0.0;45.5;2;2;0;13;5;1;10;6;6;2;12;5;231;231;128;654;412;1;148;4;2;66.7
