Jogador;Clube;Temporada;Minutos Jogados;Gols;Ass;GCC;Gols/90';Ass/90';GCC/90';NS
Antony;Man United;24/25;427;1;0;1;0.2;0.0;0.2;6.83
Antony;Man United;23/24;1347;1;1;7;0.1;0.1;0.5;6.96
Antony;Real Betis;24/25;1364;5;2;8;0.3;0.1;0.5;7.47
Rashford;Man United;24/25;1501;7;3;6;0.4;0.2;0.4;7.04
Rashford;Aston Villa;24/25;940;4;5;11;0.4;0.5;1.1;7.24
Lukaku;Man United;18/19;3011;15;3;4;0.4;0.1;0.1;6.91
Lukaku;Internazionale;19/20;4189;34;6;8;0.7;0.1;0.2;7.22
McTominay;Man United;23/24;2800;10;3;5;0.3;0.1;0.2;6.95
McTominay;Napoli;24/25;2972;13;4;5;0.4;0.1;0.2;7.27
Elanga;Man United;22/23;731;0;2;2;0.0;0.1;0.2;6.62
Elanga;Nottingham Forest;23/24;2678;5;9;14;0.2;0.3;0.5;6.90
Elanga;Nottingham Forest;24/25;2749;6;12;10;0.2;0.4;0.3;7.03
